id,name,team,priority
rIkllxRCSGSsRT1BePvdag,bleiz,POLSKA,10
vC5waNuAQ5u_NZwhxsd5Cw,capybara,POLSKA,9
gBXWm-_STyKHxxSlvbQyOw,metemoti,POLSKA,8
BsOrsXLORUu4uP1aN7kYOQ,haraj,POLSKA,5
9ZsN8MF-TqaE9TcmcD_oRg,guess,POLSKA,5
V3fp5tM3R-mAsWw-QGfA5Q,xyuumi,BRAZOLE,10
6BXNdNmORmqobHF9IzXslg,loser,BRAZOLE,9
BrGBTpBYRuCyabT_df3d8g,oakley,BRAZOLE,9
XGyPW-HbRQyJPFb6-zkXnw,oneshot,BRAZOLE,8
uja3u5_-SUCuFujhatikUw,championofrj,BRAZOLE,5
hXdzUxQcTWKNZ6h3rdpRSQ,felipe,FELIPE,10
SvvG8uoaRUGbboXKlVfBIQ,ChampOfGeneva,FELIPE,8
UKTFthmiQ5-mM63x0BrNVg,Chach,FELIPE,8
CLcVUjBFSNWuz6LFJpNDsQ,macaco,FELIPE,6
qKcjyDwFRUuIEiarohWxlQ,pidg,FELIPE,5

